country_iso,university_name,website,country_name
AU,University of Canberra,http://www.canberra.edu.au/,Australia
AU,University of Divinity,http://www.divinity.edu.au/,Australia
AU,University of Melbourne,http://www.unimelb.edu.au/,Australia
AU,University of Newcastle,http://www.newcastle.edu.au/,Australia
AU,University of New England,http://www.une.edu.au/,Australia
AU,University of New South Wales,http://www.unsw.edu.au/,Australia
AU,University of Notre Dame Australia,http://www.nd.edu.au/,Australia
AU,University of Queensland,http://www.uq.edu.au/,Australia
AU,University of South Australia,http://www.unisa.edu.au/,Australia
AU,University of Southern Queensland,http://www.usq.edu.au/,Australia
AU,University of Sydney,http://www.usyd.edu.au/,Australia
AU,University of Tasmania,http://www.utas.edu.au/,Australia
AU,University of Technology Sydney,http://www.uts.edu.au/,Australia
AU,University of the Sunshine Coast,http://www.usc.edu.au/,Australia
AU,University of Western Australia,http://www.uwa.edu.au/,Australia
AU,University of Western Sydney,http://www.uws.edu.au/,Australia
AU,University of Wollongong,http://www.uow.edu.au/,Australia
AZ,Academy of Public Administration,http://www.dia.edu.az/,Azerbaijan
AZ,Azerbaijan Diplomatic Academy,http://www.ada.edu.az/,Azerbaijan
AZ,Azerbaijan International University,http://www.abu.az/,Azerbaijan
AZ,Azerbaijan Medical University,http://www.amu.edu.az/,Azerbaijan
AZ,Azerbaijan National Conservatorie,http://www.conservatory.az/,Azerbaijan
AZ,Azerbaijan State Economic University,http://www.aseu.az/,Azerbaijan
AZ,Azerbaijan State Oil Academy,http://adna.jis.az/,Azerbaijan
AZ,Azerbaijan Technical University,http://www.aztu.az/,Azerbaijan
AZ,Azerbaijan Technology University,http://www.aztu.edu.az/,Azerbaijan
AZ,Azerbaijan Toursim Institute,http://www.tourism.edu.az/,Azerbaijan
AZ,Azerbaijan University,http://www.au.edu.az/,Azerbaijan
AZ,Azerbaijan University ol Languages,http://www.adu.edu.az/,Azerbaijan
AZ,Baki Business University,http://www.bbu.edu.az/,Azerbaijan
AZ,Baku Slavic University,http://www.bsu-edu.org/,Azerbaijan
AZ,Baku State University,http://www.bsu.az/,Azerbaijan
AZ,Ganja State University,http://www.gsu.az/,Azerbaijan
AZ,Khazar University,http://www.khazar.org/,Azerbaijan
AZ,Lankaran State University,http://www.lsu.edu.az/,Azerbaijan
AZ,Nakhchivan Private University,http://www.az-npu.org/,Azerbaijan
AZ,Nakhchivan State University,http://www.ndu.edu.az/,Azerbaijan
AZ,National Aviation Academy,http://www.naa.edu.az/,Azerbaijan
AZ,Odlar Yurdu University,http://www.oyu.edu.az/,Azerbaijan
AZ,Police Academy,http://www.pa.edu.az/,Azerbaijan
AZ,Qafqaz University,http://www.qafqaz.edu.az/,Azerbaijan
AZ,Sumgait State University,http://www.sdu.edu.az/,Azerbaijan
AZ,Western University,http://www.wu.edu.az/,Azerbaijan
BA,American University,http://www.aubih.ba/,Bosnia and Herzegovina
BA,International Burch University,http://www.ibu.edu.ba/,Bosnia and Herzegovina
BA,International University of Sarajevo,http://www.ius.edu.ba/,Bosnia and Herzegovina
BA,International University of Travnik,http://www.iu-travnik.com/,Bosnia and Herzegovina
BA,Sarajevo Film Academy,http://www.sfa.ba/,Bosnia and Herzegovina
BA,Slobomir P Univerzitet,http://www.spu.ba/,Bosnia and Herzegovina
BA,University of Banja Luka,http://www.unibl.org/,Bosnia and Herzegovina
BA,University of Bihac,http://www.unbi.ba/,Bosnia and Herzegovina
BA,University of East Srarajevo,http://www.unssa.rs.ba/,Bosnia and Herzegovina
BA,University of Mostar,http://www.sve-mo.ba/,Bosnia and Herzegovina
BA,University of Sarajevo,http://www.unsa.ba/,Bosnia and Herzegovina
BA,University of Tuzla,http://www.untz.ba/,Bosnia and Herzegovina
BA,University of Zenica,http://www.unze.ba/,Bosnia and Herzegovina
BA,University Vitez In Travnik,http://www.unvi.edu.ba/,Bosnia and Herzegovina
BA,"Univerzitet u Mostaru """"Dzemal Bijedic""""",http://www.unmo.ba/,Bosnia and Herzegovina
BB,"University of the West Indies, Cave Hill",http://www.uwichill.edu.bb/,Barbados
BD,Ahsanullah University of Science & Technology,http://www.aust.edu/,Bangladesh
BD,American International University - Bangladesh,http://www.aiub.edu/,Bangladesh
BD,Asa University Bangladesh,http://www.asaub.edu.bd/,Bangladesh
BD,Asian University of Bangladesh,http://www.aub-bd.org/,Bangladesh
BD,Atish Dipankar University,http://www.atishdipankaruniversity.edu.bd/,Bangladesh
BD,Bangabandhu Sheikh Mujibur Rahman Agricultural University,http://www.bsmrau.edu.bd/,Bangladesh
BD,Bangabandhu Sheikh Mujibur Rahman Medical University,http://www.bsmmu.edu.bd/,Bangladesh
BD,Bangladesh Agricultural University,http://www.bau.edu.bd/,Bangladesh
BD,Bangladesh Open University,http://www.bou.edu.bd/,Bangladesh
BD,Bangladesh University,http://www.bu.edu.bd/,Bangladesh
BD,Bangladesh University of Business & Technology,http://www.bubt.edu.bd/,Bangladesh
BD,Bangladesh University of Engineering and Technology,http://www.buet.ac.bd/,Bangladesh
BD,Bangladesh University of Professionals,http://www.bup.edu.bd/,Bangladesh
BD,Bangladesh University of Textiles,http://www.butex.edu.bd/,Bangladesh
BD,"Begum Rokeya University, Rangpur",http://www.brur.ac.bd/,Bangladesh
BD,"BGC Trust University, Bangladesh",http://www.bgctrustbd.org/btub/,Bangladesh
BD,Brac University,http://www.bracuniversity.net/,Bangladesh
BD,Chittagong Independent University,http://www.ciu.edu.bd/,Bangladesh
BD,Chittagong University of Engineering and Technology,http://www.cuet.ac.bd/,Bangladesh
BD,City University,http://www.cityuniversity.edu.bd/,Bangladesh
BD,Comilla University,http://www.cou.ac.bd/,Bangladesh
BD,Daffodil International University,http://www.daffodilvarsity.edu.bd/,Bangladesh
BD,Darul Ihsan University,http://www.diu.ac.bd/,Bangladesh
BD,Dhaka International University,http://www.diu.net.bd/,Bangladesh
BD,Dhaka University of Engineering and Technology,http://www.duet.ac.bd/,Bangladesh
BD,East Delta University,http://www.eastdelta.edu.bd/,Bangladesh
BD,Eastern University,http://www.easternuni.edu.bd/,Bangladesh
BD,East West University,http://www.ewubd.edu/,Bangladesh
BD,"East-West University, Mohakhali",http://www.ewubd.edu/,Bangladesh
BD,Green University of Bangladesh,http://www.green.edu.bd/,Bangladesh
BD,Hajee Mohammad Danesh Science and Technology University,http://www.hstu.ac.bd/,Bangladesh
BD,IBAIS University,http://www.ibaisuniv.edu.bd/,Bangladesh
BD,"Independent University, Bangladesh",http://www.iub.edu.bd/,Bangladesh
BD,International Culture University,http://www.icu-edu.org/,Bangladesh
BD,International Islamic University Chittagong,http://www.iiuc.ac.bd/,Bangladesh
BD,International University of Business Agriculture and Technology,http://www.iubat.edu/,Bangladesh
BD,Islamic University Kushtia,http://www.iu.ac.bd/,Bangladesh
BD,Islamic University of Technology,http://www.iutoic-dhaka.edu/,Bangladesh
BD,Jagannath University,http://www.jnu.ac.bd/,Bangladesh
BD,Jahangirnagar University,http://www.juniv.edu/,Bangladesh
BD,Jatiya Kabi Kazi Nazrul Islam University,http://www.jkkniu.edu.bd/,Bangladesh
BD,Khulna University,http://www.ku.ac.bd/,Bangladesh
BD,Khulna University of Engineering And Technology,http://www.kuet.ac.bd/,Bangladesh
BD,Leading University,http://www.lus.ac.bd/,Bangladesh
BD,Manarat International University,http://www.manarat.ac.bd/,Bangladesh
