Country,Prop,ISO2,position,Trait,ISO3,Country_map,popup_info,quants
Japan,4.02462121212121,JP,First,Chronic respiratory disease,JPN,Japan,<b>Japan</b><br/>4.02%,7
Germany,3.61519607843137,DE,First,Chronic respiratory disease,DEU,Germany,<b>Germany</b><br/>3.62%,7
Canada,3.55392156862745,CA,First,Chronic respiratory disease,CAN,Canada,<b>Canada</b><br/>3.55%,7
Netherlands,2.38970588235294,NL,First,Chronic respiratory disease,NLD,Netherlands,<b>Netherlands</b><br/>2.39%,7
Italy,1.88419117647059,IT,First,Chronic respiratory disease,ITA,Italy,<b>Italy</b><br/>1.88%,6
Australia,1.83823529411765,AU,First,Chronic respiratory disease,AUS,Australia,<b>Australia</b><br/>1.84%,6
Sweden,1.83823529411765,SE,First,Chronic respiratory disease,SWE,Sweden,<b>Sweden</b><br/>1.84%,6
Denmark,0.919117647058824,DK,First,Chronic respiratory disease,DNK,Denmark,<b>Denmark</b><br/>0.92%,6
Iceland,0.735294117647059,IS,First,Chronic respiratory disease,ISL,Iceland,<b>Iceland</b><br/>0.74%,5
Singapore,0.612745098039216,SG,First,Chronic respiratory disease,SGP,Singapore,<b>Singapore</b><br/>0.61%,5
Finland,0.520833333333333,FI,First,Chronic respiratory disease,FIN,Finland,<b>Finland</b><br/>0.52%,5
Norway,0.428921568627451,NO,First,Chronic respiratory disease,NOR,Norway,<b>Norway</b><br/>0.43%,5
Malaysia,0.306372549019608,MY,First,Chronic respiratory disease,MYS,Malaysia,<b>Malaysia</b><br/>0.31%,4
Benin,0.183823529411765,BJ,First,Chronic respiratory disease,BEN,Benin,<b>Benin</b><br/>0.18%,4
Israel,0.183823529411765,IL,First,Chronic respiratory disease,ISR,Israel,<b>Israel</b><br/>0.18%,4
United States,44.343049719888,US,Senior,Chronic respiratory disease,USA,USA,<b>United States</b><br/>44.34%,8
China,9.63497899159664,CN,Senior,Chronic respiratory disease,CHN,China,<b>China</b><br/>9.63%,8
United Kingdom,6.34978991596639,GB,Senior,Chronic respiratory disease,GBR,UK,<b>United Kingdom</b><br/>6.35%,8
South Korea,6.29595588235294,KR,Senior,Chronic respiratory disease,KOR,South Korea,<b>South Korea</b><br/>6.3%,8
Spain,5.11029411764706,ES,Senior,Chronic respiratory disease,ESP,Spain,<b>Spain</b><br/>5.11%,8
Japan,4.72426470588235,JP,Senior,Chronic respiratory disease,JPN,Japan,<b>Japan</b><br/>4.72%,8
France,4.41176470588235,FR,Senior,Chronic respiratory disease,FRA,France,<b>France</b><br/>4.41%,8
Germany,3.61519607843137,DE,Senior,Chronic respiratory disease,DEU,Germany,<b>Germany</b><br/>3.62%,7
Canada,3.15563725490196,CA,Senior,Chronic respiratory disease,CAN,Canada,<b>Canada</b><br/>3.16%,7
Netherlands,2.64705882352941,NL,Senior,Chronic respiratory disease,NLD,Netherlands,<b>Netherlands</b><br/>2.65%,7
Sweden,1.83823529411765,SE,Senior,Chronic respiratory disease,SWE,Sweden,<b>Sweden</b><br/>1.84%,6
Australia,1.47058823529412,AU,Senior,Chronic respiratory disease,AUS,Australia,<b>Australia</b><br/>1.47%,6
Italy,1.47058823529412,IT,Senior,Chronic respiratory disease,ITA,Italy,<b>Italy</b><br/>1.47%,6
Denmark,1.10294117647059,DK,Senior,Chronic respiratory disease,DNK,Denmark,<b>Denmark</b><br/>1.1%,6
Singapore,0.76593137254902,SG,Senior,Chronic respiratory disease,SGP,Singapore,<b>Singapore</b><br/>0.77%,5
Iceland,0.735294117647059,IS,Senior,Chronic respiratory disease,ISL,Iceland,<b>Iceland</b><br/>0.74%,5
Finland,0.551470588235294,FI,Senior,Chronic respiratory disease,FIN,Finland,<b>Finland</b><br/>0.55%,5
Norway,0.490196078431373,NO,Senior,Chronic respiratory disease,NOR,Norway,<b>Norway</b><br/>0.49%,5
Chile,0.367647058823529,CL,Senior,Chronic respiratory disease,CHL,Chile,<b>Chile</b><br/>0.37%,4
Israel,0.367647058823529,IL,Senior,Chronic respiratory disease,ISR,Israel,<b>Israel</b><br/>0.37%,5
Lebanon,0.367647058823529,LB,Senior,Chronic respiratory disease,LBN,Lebanon,<b>Lebanon</b><br/>0.37%,5
United States,36.2326208750343,US,All,CVD,USA,USA,<b>United States</b><br/>36.23%,8
